Address,City,Zip Code,Latitude,Longitude
"4208 N 51st Ave, Phoenix, AZ 85031, USA",Phoenix,85031,33.4974933,-112.1690155
"212 E 1st Ave, Mesa, AZ 85210, USA",Mesa,85210,33.4133572,-111.8256978
"1740 S Roosevelt St, Tempe, AZ 85281, USA",Tempe,85281,33.4098583,-111.9481097
"8810 S Avenida del Yaqui, Tempe, AZ 85283, USA",Tempe,85283,33.3670965,-111.9634993
"4700 E Warner Rd, Phoenix, AZ 85044, USA",Phoenix,85044,33.331402,-111.9831294
"1823 E Broadway Rd, Phoenix, AZ 85040, USA",Phoenix,85040,33.406483,-112.042081
"915 E Palm Ln, Phoenix, AZ 85006, USA",Phoenix,85006,33.4691625,-112.0624014
"S Bonarden Ln, Tempe, AZ 85284, USA",Tempe,85284,33.3682283,-111.9269247
"1730 S 2nd St, Phoenix, AZ 85004, USA",Phoenix,85004,33.4297218,-112.0720075
"1022 E Garfield St, Phoenix, AZ 85006, USA",Phoenix,85006,33.4579607,-112.0595137
"4308 N 27th St, Phoenix, AZ 85016, USA",Phoenix,85016,33.498875,-112.024112
"9000 E Chaparral Rd, Scottsdale, AZ 85256, USA",Scottsdale,85256,33.511077,-111.8840981
"4700 E Warner Rd, Phoenix, AZ 85044, USA",Phoenix,85044,33.331402,-111.9831294
"3000 E Ray Rd, Gilbert, AZ 85296, USA",Gilbert,85296,33.32188,-111.7262758
"2777 S Gilbert Rd, Chandler, AZ 85286, USA",Chandler,85286,33.2652939,-111.7875035
"1822 W Pierson St, Phoenix, AZ 85015, USA",Phoenix,85015,33.5079856,-112.0986598
"3218 N 27th St, Phoenix, AZ 85016, USA",Phoenix,85016,33.4865818,-112.0242465
"4208 N 51st Ave, Phoenix, AZ 85031, USA",Phoenix,85031,33.4974933,-112.1690155
"15109 N 102nd Way, Scottsdale, AZ 85255, USA",Scottsdale,85255,33.623455,-111.8587131
"Fountain Hills, AZ 85268, USA",Fountain Hills,85268,33.6042079,-111.7256936
"557 N 93rd Ave, Tolleson, AZ 85353, USA",Tolleson,85353,33.4527904,-112.2595689
"Phoenix, AZ 85007, USA",Phoenix,85007,33.4462721,-112.0893682
"13500 N El Mirage Rd, El Mirage, AZ 85335, USA",El Mirage,85335,33.6064576,-112.3258603
"10225 N 83rd Ave, Peoria, AZ 85345, USA",Peoria,85345,33.5781086,-112.2372973
"1200 W Vineyard Rd, Phoenix, AZ 85041, USA",Phoenix,85041,33.3852062,-112.0873383
"Mesa, AZ 85212, USA",Mesa,85212,33.3312297,-111.642224
"1200 W Vineyard Rd, Phoenix, AZ 85041, USA",Phoenix,85041,33.3852062,-112.0873383
"6042 N 68th Dr, Glendale, AZ 85303, USA",Glendale,85303,33.5250743,-112.2067563
